COUNTY,TREND,POPULATION,RATIO
06001,109901044.285198,8255830,13.3119316029034
06003,5115,121,42.2727272727273
06005,4192316.569514,200196,20.941060608174
06007,31137888.5478,1211128,25.7098246822797
06009,9799025.15919,224924,43.5659385356387
06011,1770879.64854,90617,19.5424660774468
06013,144193945.25487,6169613,23.3716353448539
06017,38114332.425038,859395,44.3501910355983
06019,134033103.816972,5098399,26.2892535121265
06021,3873793.42632,155084,24.9786788212839
06023,1997432.203581,572769,3.48732596139281
06025,4079866.17216,1560,2615.29882830769
06027,3422889.572302,77891,43.9446094195992
06029,104301172.03104,4546206,22.9424649985153
06031,20359412.73806,786891,25.8732311566151
06033,4733605.34713299,358295,13.2114747544146
06035,148245.595712,8964,16.5378843944668
06037,293314657.278643,32279061,9.08683983337195
06039,21273679.12278,893367,23.8129224862571
06041,44367510.53877,1457932,30.4318106322997
06043,3578045.224896,81282,44.0201425272016
06045,7779687.571155,458411,16.9709879805568
06047,18351885.465042,1213824,15.1190662443995
06049,131257.19532,333,394.165751711712
06051,3361715.962947,66861,50.2791756471934
06053,26447972.279846,2070169,12.7757551580794
06055,25535023.08156,786406,32.4705344078758
06057,23495596.023584,485199,48.424658796873
06059,182956557.78273,15360560,11.9107999827304
06061,74844791.304626,1640385,45.6263568032053
06063,169145.903317,35037,4.82763659323001
06065,243775378.972736,10942728,22.277386312877
06067,525400.113799,137672,3.81631787000261
06069,6255153.35156,327601,19.0938164155787
06071,141622883.681933,10778557,13.1393175990008
06073,330985201.292104,17767351,18.6288435058273
06075,38836836.52378,4452223,8.72302140386499
06077,46603832.835861,3503069,13.3037153524127
06079,41680555.8601,1583605,26.3200456301287
06081,56376666.3188,4191231,13.4510997649139
06083,35608326.75624,2294904,15.5162598331956
06085,222738104.182834,9458837,23.548149120535
06087,36936614.446093,1500872,24.6101029575427
06089,14177516.381589,973837,14.5584080103642
06091,26465.601564,584,45.3178108972603
06095,31555564.641311,2377737,13.2712594543934
06097,96928303.9058499,2874735,33.7173005184304
06099,10078809.77783,407746,24.7183535284957
06101,12081988.455252,554765,21.7785701247411
06103,17982124.584982,346047,51.964399590177
06105,9238.400024,1343,6.87892779151154
06107,78407260.3260989,2423756,32.3494858088434
06109,5749067.771387,298616,19.2523768699165
06111,82303781.2499619,4584287,17.9534530124231
06113,31001937.957511,1185555,26.1497256200775
06115,10410611.184066,409457,25.4254077572639
53011,10488.7998,24057,0.435997830153386
