ZIPCODE,TREND2012,POPULATION,RATIO
90001,1987.699951,54480,0.03648494770558
90002,7616,48613,0.156665912410261
90008,9893.200195,33754,0.293097120193162
90022,98737.89844,68657,1.4381330154245
90023,8930.900391,45663,0.195582865580448
90038,8489.599609,30225,0.280880053234078
90040,3577.200195,12692,0.281846848014497
90043,57336.19922,43761,1.31021227165741
90046,14057.2002,49937,0.281498692352364
90047,14157,47857,0.295818793488936
90048,8149.199707,20793,0.391920343721445
90049,16559.40039,36107,0.458620222948459
90056,155601.4063,8628,18.0344699003245
90061,2077.899902,26621,0.078054915367567
90063,27657.90039,53994,0.512240256139571
90066,25537.90039,56107,0.455164246707184
90069,7372,20328,0.362652499016135
90201,9966.599609,101647,0.0980510945625547
90209,20899.80078,-100,-100
90210,441190.5938,21517,20.5042800483339
90211,42255.60156,7889,5.35626841931804
90212,94956.5,12306,7.71627661303429
90213,9372,-100,-100
90220,6933.399902,50947,0.136090445011483
90221,3499.199951,51350,0.0681441081012658
90222,74686.80469,30990,2.41002919296547
90230,239046.8906,32508,7.35347885443583
90232,189008.2031,15248,12.3956061844176
90233,4041.599854,-100,-100
90240,160350.5,25258,6.34850344445324
90241,135455.0938,43786,3.09357086283287
90242,109834.1953,42763,2.56843989663962
90245,191964.5938,16678,11.5100487948195
90247,40751.19922,46590,0.874676952564928
90248,9074.900391,9904,0.916286388428918
90249,20871.59961,26790,0.779081732362822
90250,167366.5938,93925,1.78191742134682
90254,227621.5,19535,11.6519836191451
90255,15840.2998,75961,0.208532007214228
90260,28567.19922,35014,0.815879340263894
90262,19192.5,69734,0.275224424240686
90263,54472.19922,1847,29.4922572929074
90264,7304,-100,-100
90265,1071940.375,17749,60.3944095441997
90266,1054745.625,35226,29.942247913473
90274,800945,25387,31.5494150549494
90275,1107527.125,41903,26.4307358661671
90277,237466.7031,33972,6.99007132638644
90278,214112.5938,40867,5.23925401424132
90280,26924.20117,94703,0.284301460038225
90290,468199.5938,6983,67.0484883001575
90301,31322.29883,37165,0.842790228171667
90302,33516.39844,30344,1.10454779989454
90303,20035.09961,25828,0.775712390041815
90304,10912.40039,27198,0.401220692330318
90305,28260,14896,1.89715359828142
90401,7149.200195,6766,1.05663615060597
90402,462874.7188,12351,37.4766997652012
90403,140869.5,24286,5.80044058305196
90404,52140.90234,20739,2.51414737161869
90405,325846.6875,28114,11.5901930532831
90406,3690,-100,-100
90501,110976.3984,42363,2.61965390553077
90502,16317.20117,16845,0.968667329771446
90503,118275.1953,46253,2.55713565174151
90504,131373.5938,31650,4.15082444865719
90505,221099,36135,6.11869378718694
90601,148724.2969,32630,4.55790060986822
90602,60619.30078,25923,2.33843693939745
90603,207447.7969,19933,10.4072541463904
90604,150757.7969,40483,3.72397788948447
90605,202384.1094,40698,4.97282690549904
90606,29534.19922,32998,0.895029978180496
90620,353140.9063,44295,7.97247784851563
90621,166677.9063,35994,4.63071362727121
90623,187259.8906,15528,12.0594983642452
90630,612264.5,48292,12.6783835832022
90631,643014,67929,9.46597182352162
90637,1826,-100,-100
90638,348451.0938,49062,7.10226027883087
90640,55745.19922,62965,0.885336285555467
90650,103312.1016,105603,0.978306502656174
90657,4247.100098,-100,-100
90660,78620.20313,63106,1.24584355100941
90670,15295.80078,15265,1.00201773861775
90680,61489.19922,30369,2.02473572458757
90700,1845,-100,-100
90701,46483.5,16597,2.80071699704766
90703,411506.2188,49551,8.30470058727372
90704,24310.40039,3999,6.07911987746937
90706,108226.8047,76619,1.41253220089012
90710,25060.19922,27486,0.911744132285527
90711,3657.599854,-100,-100
90712,215949.2031,31334,6.89184920852748
90713,200584.5,27562,7.2775741963573
90715,60914,21129,2.88295707321691
90716,4240,14203,0.298528479898613
90717,141831.7031,21347,6.64410470323699
90720,641108.5625,21710,29.5305648318747
90723,17293,54255,0.318735600405493
90731,4276.799805,59270,0.0721579180867218
90740,286083.5938,23789,12.0258772457859
90742,9978.099609,968,10.3079541415289
90743,8838.599609,411,21.5051085377129
90745,61986,58090,1.06706834222758
90746,37638.60156,25861,1.45541941765593
90755,66636.20313,10994,6.06114272603238
90801,2357.599854,-100,-100
90802,11746.40039,39017,0.301058522951534
90803,371895,30855,12.0529897909577
90804,45950.40234,41094,1.11817789312308
90805,273740.5938,93117,2.93974885144496
90806,43099.80078,42873,1.00529006087748
90807,397937.0938,32176,12.3675128605172
90808,592850.3125,39064,15.1763852268073
90810,14268.30078,36935,0.386308400703939
90813,15157.59961,58719,0.258137904426165
90814,184450.1094,18633,9.89910961197875
90815,579800,40502,14.3153424522246
90914,2258.399902,-100,-100
91001,581096.3125,38066,15.2654944701308
91006,696466.8125,32339,21.5364362689013
91007,379281.125,33836,11.2093960574536
91008,84258.60156,1122,75.0967928342246
91010,100485.2969,24913,4.03344827600048
91011,967202.6875,20468,47.2543818399453
91016,336516.3125,41610,8.08739035087719
91020,26637.40039,8462,3.14788470692508
91024,291845.1875,10939,26.679329691928
91030,390443.9063,25603,15.2499279889075
91101,9033.200195,21545,0.419271301694129
91104,39482.60156,36961,1.06822330456427
91107,236311.1094,31737,7.44591830985915
91108,357483.4063,13297,26.884515777995
91214,310232.6875,31479,9.85522689729661
91301,1153241.5,25834,44.6404544398854
91302,986278.6875,24910,39.5936847651546
91304,7920.900391,52907,0.149713655867844
91307,210496.6094,24983,8.42559377977024
91310,59292.80078,-100,-100
91311,162407.7031,37945,4.2800817788905
91319,7484.799805,-100,-100
91320,1069689.625,45433,23.5443317632558
91321,637691.8125,35148,18.1430469016729
91326,4644,35691,0.130116836177188
91340,58860.60156,35207,1.67184371176187
91342,42541.30078,89001,0.477986772957607
91350,1185773.25,34293,34.5777053626104
91351,370200.8125,31936,11.5919593092435
91354,765013.3125,28392,26.9446785185968
91355,458149.0938,33203,13.7984246543987
91360,922376,42937,21.482078393926
91361,747909.1875,19731,37.9052854644975
91362,1002565.063,35485,28.2532073552205
91364,42146.19922,25947,1.62431877365399
91377,348730.1875,14423,24.1787552866949
91381,891852.8125,19673,45.3338490570833
91384,1213511.75,29155,41.6227662493569
91387,1411869.25,40375,34.9688978328173
91390,1518736.25,20050,75.7474438902743
91701,960685.1875,40553,23.6896206815772
91702,37728.60156,60284,0.625847680313184
91706,59416.59766,77028,0.77136362958924
91708,40582,3840,10.5682291666667
91709,1213184.875,75211,16.1304180904389
91710,824843.1875,80801,10.2083289501368
91711,1175533.5,35857,32.7839334021251
91714,2050,-100,-100
91722,125622.3984,35408,3.54785354722097
91723,89642.29688,18713,4.79037550793566
91724,391874.4063,24935,15.7158374293162
91729,7437.600098,-100,-100
91730,220461.2031,65610,3.36017684956562
91731,37834.80078,29703,1.27377035248965
91732,90241.79688,61832,1.45946753913831
91733,23334.30078,43902,0.531508832854995
91737,977992,24254,40.3229158077018
91739,1179649.25,35770,32.9787321778026
91740,233090.5,26115,8.92554087689068
91741,529906,25282,20.9598133059093
91744,70102.5,83182,0.842760452982616
91745,565216.6875,56370,10.0269059340075
91746,42371.70313,31086,1.36304777488258
91748,340004.4063,46946,7.24245742555276
91750,756221.375,33906,22.3034676753377
91752,486999.5938,29664,16.4171923476268
91754,87437.70313,33052,2.64545876588406
91755,54899.19922,27334,2.00845830174874
91759,1258.199951,274,4.59197062408759
91761,265802.8125,59844,4.44159502205735
91762,269600.4063,54406,4.95534327647686
91763,72030.39844,36739,1.96059768747108
91764,109890.6016,54397,2.02015922936927
91765,542103,47433,11.4288153816963
91766,300009.4063,70447,4.25865411302114
91767,204682.3906,49808,4.10942801557983
91768,103824,36191,2.86877953082258
91769,6483.600098,-100,-100
91770,164702,61836,2.66352933566207
91773,838300.6875,33273,25.1946228924353
91775,127820.2031,24775,5.15924129566095
91776,67580.70313,37716,1.7918311361226
91780,188072.5938,34877,5.39245330160278
91784,868031.125,26457,32.8091289639793
91786,207349.5938,51439,4.03098026400202
91788,2542.399902,-100,-100
91789,679943.9375,42332,16.0621737101956
91790,147759.2969,44631,3.31068756917837
91791,329589.5,32226,10.2274405759325
91792,49974.89844,31338,1.59470605782118
91801,89680.60156,53964,1.66185978726558
91803,35091.39844,29571,1.18668284603158
91901,1440250.875,17034,84.5515366326171
91902,603230.8125,17659,34.1599644657115
91903,5269.600098,-100,-100
91905,48395.19922,1088,44.4808816360294
91906,47250.09766,3679,12.8431904484914
91909,21960.60156,-100,-100
91910,498510.5938,73761,6.75845763750491
91911,435698.375,82708,5.26791090341926
91913,223279.5938,40698,5.48625470047668
91914,287834.9063,16200,17.767586808642
91915,151125.7031,25172,6.00372251310981
91916,93884.39844,1566,59.9517231417625
91917,5855.899902,560,10.4569641107143
91931,6282,377,16.6631299734748
91932,189248.6875,25640,7.38099405226209
91934,8728,364,23.978021978022
91935,869768,8171,106.445722677763
91941,1192433.625,31582,37.7567483059971
91942,223919.7969,38719,5.78320196544332
91944,5927.600098,-100,-100
91945,218840.7969,25523,8.57425839047134
91948,1300,57,22.8070175438597
91950,63162.30078,60283,1.04776306388202
91962,4010.999756,1071,3.74509781139122
91963,10579.59961,1193,8.86806337803856
91977,600433.5625,60769,9.88058981553094
91978,122408.1953,9003,13.5963784627346
92003,399354.5,4000,99.838625
92004,237937.5938,2637,90.2304109973455
92007,209527.7031,11135,18.8170366502021
92008,387685.5,26746,14.4950833769536
92009,1143363,41210,27.7447949526814
92010,170582.4063,14695,11.6081936917319
92011,410750.5938,22416,18.3239915149893
92014,611856.6875,13247,46.1883209405903
92019,1345761.625,43676,30.8123826586684
92020,1056622.375,56807,18.6002143221786
92021,1327225.5,64441,20.5959792678574
92023,49240.39844,-100,-100
92024,1401736.75,48725,28.7683273473576
92025,1172328.625,48567,24.13837842568
92026,1082108,49309,21.945446064613
92027,964460.5625,55129,17.4946137695224
92028,2395180,48103,49.7927364197659
92029,1184604.375,19823,59.759086667003
92036,86906.19531,3202,27.1412227701437
92037,1079480,41746,25.8582858237915
92040,1211329.875,42232,28.6827494553893
92049,17533.80078,-100,-100
92054,237995.5938,42688,5.57523411263118
92056,361856.5,51142,7.07552500879903
92057,513857,54274,9.46782990013635
92058,53417.59766,45685,1.16925900536281
92059,73592.5,1301,56.5661029976941
92061,46464.80078,2301,20.1933075966971
92064,3938775.25,48208,81.7037680467972
92065,2388543.5,36341,65.7258605982224
92066,6184.799805,277,22.3277971299639
92067,870141.6875,7524,115.648815457204
92069,472804.2813,45362,10.4229152440369
92070,38979.60156,1244,31.3340848553055
92071,993013.5625,53841,18.4434457476644
92075,366075.5,12104,30.2441754791804
92078,626914.0625,43220,14.5051842318371
92081,374027.0938,27598,13.5526883759693
92082,1548888.875,19302,80.2449940420682
92083,175769.5,36915,4.76146552891778
92084,1341234.625,47077,28.4902314293604
92086,47361.29688,1191,39.7659923425693
92091,36482.60156,1268,28.7717677917981
92101,242235.2969,35373,6.84802806943149
92102,82157.5,43354,1.89503852009042
92103,493939.0938,30226,16.3415302653345
92104,418121.2188,44723,9.34913173982067
92105,316392.5,67482,4.68854657538307
92106,431160.3125,19971,21.5893201392018
92107,286868.9063,26746,10.7256751028191
92108,4545.200195,18390,0.247156073681349
92109,650169.3125,43857,14.8247557402467
92110,275065.9063,27254,10.0926802047406
92111,388047.4063,46072,8.42262993358222
92112,8616.799805,-100,-100
92113,773586.4375,55782,13.8680297855939
92114,198203.5,68524,2.89246833226315
92115,438293,60054,7.29831484996836
92116,396682.9063,31828,12.4633312272213
92117,869291.6875,52375,16.5974546539379
92118,357746.3125,19771,18.0944976227808
92119,449713.0938,23327,19.2786510824367
92120,934958.625,25463,36.7183216824412
92121,125905.7969,4580,27.4903486681223
92122,458127.3125,46217,9.91252812817794
92123,353735.6875,27437,12.8926518023107
92124,517345.7813,31024,16.6756633993038
92126,403350,76797,5.2521582874331
92127,885281,40237,22.0016651340806
92128,943598.8125,48438,19.4805485878855
92129,1316893.5,53218,24.7452647600436
92130,1298404.75,47599,27.2779837811719
92131,1378194.25,34306,40.1735629335976
92139,60514.89844,36528,1.65667155168638
92154,219276.2031,81952,2.67566628148184
92173,29599.59961,28723,1.03051908261672
92177,2255,-100,-100
92199,2066,-100,-100
92210,877573.8125,4861,180.533596482205
92211,1002351.188,24477,40.9507369367161
92220,144948.3906,31860,4.54954145009416
92221,10735.2002,-100,-100
92223,683812,42408,16.1245991322392
92225,407023.5,24292,16.7554544706076
92234,1321280.625,51507,25.6524477255519
92240,441474.4063,33178,13.3062392639701
92241,36080.69922,9823,3.6730834999491
92252,221159.1094,9680,22.8470154338843
92256,95560.10156,3736,25.5781856423983
92260,1594987.375,31365,50.8524589510601
92262,1606450.75,25302,63.4910580191289
92263,1376.099976,-100,-100
92264,1104268.75,20397,54.1387826641173
92266,35016.60156,73,479.679473424658
92268,22242,511,43.5264187866928
92270,2913816.75,17215,169.260339819924
92277,363187,23642,15.3619406141612
92282,24964.59961,735,33.9654416462585
92284,429911.8125,24685,17.4159130038485
92285,13471.2998,2441,5.51876272019664
92301,119360.2031,31907,3.74087827435986
92305,2450,312,7.8525641025641
92307,1185263.5,36891,32.1287983519016
92308,912622.1875,40217,22.6924481562523
92310,9516,9581,0.993215739484396
92311,885808.5625,32859,26.9578673270641
92313,157310.2969,12140,12.9580145716639
92314,2635.5,9785,0.269340827797649
92316,109783.5,31768,3.45578884411987
92317,5003.600098,-100,-100
92320,104527.1016,7818,13.3700564850345
92324,129717.3047,56471,2.29706052132953
92325,5497.600098,8174,0.672571580376805
92331,5425.199707,-100,-100
92332,5061.599609,6,843.599934833333
92335,109651.7969,98228,1.1162987834426
92336,1034294.5,89922,11.5021296234514
92337,205764.9063,36609,5.62060985823158
92338,4063.5,0,-100
92340,14902.7998,-100,-100
92341,6983.299805,263,26.5524707414449
92342,204000.0938,5946,34.308794786411
92344,277334.8125,19986,13.8764541429
92345,626474.625,79070,7.9230381307702
92346,993765.875,57365,17.3235574827857
92347,8260.599609,1791,4.61228342211055
92350,6639.599609,-100,-100
92352,47184.30078,6294,7.49671127740705
92354,387426.1875,21475,18.0408003492433
92356,72962.5,6155,11.8541835905768
92358,6351,1068,5.94662921348315
92359,129672.7969,7397,17.5304578748141
92360,2892.599854,-100,-100
92363,4040,5156,0.78355314197052
92364,18322.20117,53,345.701908867925
92365,48190.89844,2552,18.8835808934169
92368,3708,1030,3.6
92371,255533.3125,14727,17.3513487132478
92372,118665.3984,4859,24.4217736982918
92373,1372805.75,33279,41.2514123020523
92374,639422.625,40494,15.790552304045
92376,181165.5938,83613,2.16671562795259
92377,175880.7969,19698,8.92886571733171
92382,9083.799805,5519,1.6459140795434
92391,13677.30078,2335,5.85751639400428
92392,364687.8125,52312,6.97139877083652
92394,131990.1094,34350,3.84250682387191
92395,291254.8125,43378,6.71434396468256
92397,16233.60059,4833,3.3589076329402
92398,24478.70117,1068,22.9201321816479
92399,1683795.25,53219,31.6389870159154
92401,13599.60059,1952,6.96700849897541
92404,364309.8125,60222,6.0494472534954
92405,73638.29688,31075,2.36969579662108
92407,392955.5938,55780,7.04473993904625
92408,56467.90234,14077,4.01135912055125
92410,79535.09375,48069,1.65460262851318
92411,42131.90234,25443,1.65593296152183
92501,16980.90039,21887,0.775844126193631
92503,525097.625,89783,5.84851948587149
92504,635656,53194,11.949768770914
92506,76414.70313,44129,1.73162100047588
92507,67594.70313,53791,1.25661733617148
92508,305629.8125,35278,8.66346767106979
92509,647177,78700,8.2233418043202
92530,528156.625,48687,10.8480010064288
92532,271695.8125,19713,13.782570511845
92536,68377.5,3613,18.9254082479934
92543,180939.4063,34054,5.31330846009279
92544,1168978.625,45080,25.9312028615794
92545,425969.5,38642,11.0234848092749
92546,2046,-100,-100
92548,142427,6849,20.7952985837349
92549,40464.10156,1993,20.303111670848
92551,109395.2031,29230,3.74256596305166
92553,135357,75136,1.80149329216354
92554,2694.399902,-100,-100
92555,420990.1875,38751,10.863982542386
92557,414395.3125,51001,8.12523896590263
92561,7522.800293,1332,5.64774796771772
