ZIPCODE,TREND2007,POPULATION,RATIO
91746,0,31086,0.0
91748,3146,46946,0.0670131640608359
91750,0,33906,0.0
91752,7445.200195,29664,0.250984364718177
91754,5418,33052,0.16392351446206
91755,1474.400024,27334,0.0539401486793005
91759,0,274,0.0
91761,0,59844,0.0
91762,12056,54406,0.221593206631622
91763,0,36739,0.0
91764,2557.5,54397,0.0470154604114197
91765,10212.7002,47433,0.215307912213016
91766,0,70447,0.0
91767,5367.399902,49808,0.107761803364921
91768,1062.599976,36191,0.0293608901660634
91769,6483.600098,-100,-100
91770,0,61836,0.0
91773,0,33273,0.0
91775,5923.599609,24775,0.239095846982846
91776,0,37716,0.0
91780,5205.199707,34877,0.149244479370359
91784,13275.59961,26457,0.501780232452659
91786,8243,51439,0.160248060809891
91788,0,-100,-100
91789,19721,42332,0.465865066616271
91790,4219.600098,44631,0.0945441531222693
91791,14670.2998,32226,0.455231794203438
91792,0,31338,0.0
91801,2191.5,53964,0.0406104069379586
91803,1721.599976,29571,0.0582192004328565
91901,29332.19922,17034,1.72197952448045
91902,10276,17659,0.581912905600544
91903,0,-100,-100
91905,0,1088,0.0
91906,0,3679,0.0
91909,0,-100,-100
91910,22238.40039,73761,0.301492664009436
91911,14471.60059,82708,0.174972198457223
91913,7050.599609,40698,0.173241918742936
91914,8754.599609,16200,0.540407383271605
91915,0,25172,0.0
91916,0,1566,0.0
91917,0,560,0.0
91931,0,377,0.0
91932,5019.299805,25640,0.195760522815913
91934,0,364,0.0
91935,38358.19922,8171,4.69443143066944
91941,40913.60156,31582,1.29547215375847
91942,0,38719,0.0
91944,0,-100,-100
91945,4204.400391,25523,0.164729866826
91948,0,57,0.0
91950,0,60283,0.0
91962,0,1071,0.0
91963,0,1193,0.0
91977,15814.80078,60769,0.260244545409666
91978,6242.799805,9003,0.693413285016106
92003,0,4000,0.0
92004,18382.19922,2637,6.9708756996587
92007,13654.80078,11135,1.22629553480018
92008,2235.800049,26746,0.0835938102520003
92009,30463.5,41210,0.739225916039796
92010,3317.400146,14695,0.225750265124192
92011,3746.400146,22416,0.167130627498216
