ZIPCODE,TREND2012,POPULATION,RATIO
94620,5351.399902,-100,-100
90001,1987.699951,57110,0.0348047618805813
90002,7616,51223,0.148683208714835
90008,9893.200195,32327,0.306035208803786
90022,98737.89844,67179,1.46977326902752
90023,8930.900391,45903,0.194560276910006
90038,8489.599609,28917,0.293585074834872
90040,3577.200195,12520,0.285718865415335
90043,57336.19922,44789,1.28014019558374
90046,14057.2002,48581,0.289355925155925
90047,14157,48606,0.291260338229848
90048,8149.199707,21397,0.380857115810628
90049,16559.40039,35482,0.466698618736261
90056,155601.4063,7827,19.8800825731442
90061,2077.899902,26872,0.0773258373771956
90063,27657.90039,55758,0.496034656730873
90066,25537.90039,55277,0.461998668343072
90069,18522.90039,20483,0.904306028902016
90201,14652.59961,101279,0.14467559523692
90209,20899.80078,-100,-100
90210,441190.5938,21741,20.2930221148981
90211,42255.60156,8434,5.01014958027034
90212,94956.5,11555,8.21778450887062
90213,9372,-100,-100
90220,6933.399902,49328,0.140557085265975
90221,3499.199951,53704,0.0651571568412036
90222,74686.80469,31869,2.34355658131727
90230,239046.8906,31766,7.52524367562803
90232,189008.2031,15149,12.4766125222787
90233,4041.599854,-100,-100
90240,160350.5,25876,6.19688127995053
90241,135455.0938,42399,3.19477095686219
90242,109834.1953,43497,2.52509817458675
90245,191964.5938,16654,11.5266358712622
90247,40751.19922,47487,0.858154847010761
90248,9074.900391,9947,0.912325363526691
90249,20871.59961,26669,0.782616506430687
90250,167366.5938,93193,1.79591378966231
90254,227621.5,19506,11.6693068799344
90255,15840.2998,75066,0.211018301228252
90260,28567.19922,34924,0.817981881227809
90262,19192.5,69745,0.275181016560327
90263,54472.19922,1612,33.7916868610422
90264,7304,-100,-100
90265,1071940.375,18116,59.1709193530581
90266,1054745.625,35135,30.0197986338409
90274,800945,25209,31.7721845372684
90275,1107527.125,41804,26.4933289876567
90277,237466.7031,35293,6.72843632165019
90278,214112.5938,40071,5.34333043348057
90280,26924.20117,94396,0.285226081295818
90290,468199.5938,6368,73.5238055590452
90301,31322.29883,36568,0.856549410140013
90302,33516.39844,29415,1.13943220941696
90303,20035.09961,26176,0.765399587790342
90304,10912.40039,28210,0.38682738000709
90305,28260,14853,1.90264593011513
90401,48682.60156,6722,7.24227931567986
90402,462874.7188,12250,37.7856913306122
90403,140869.5,24525,5.74391437308868
90404,52140.90234,21360,2.44105348033708
90405,325846.6875,27186,11.9858268042375
90406,3690,-100,-100
90501,110976.3984,43180,2.57008796665123
90502,16317.20117,18010,0.906007838423098
90503,118275.1953,44383,2.66487608543812
90504,131373.5938,32102,4.09238034390381
90505,221099,36678,6.0281094934293
90601,148724.2969,31974,4.6514135516357
90602,60619.30078,25777,2.35168176203592
90603,207447.7969,20063,10.3398194138464
90604,150757.7969,39407,3.82566033699596
90605,202384.1094,40331,5.0180781384047
90606,29534.19922,32396,0.911661909494999
90620,353140.9063,45113,7.82791892137521
90621,166677.9063,35153,4.74149877108639
90623,187259.8906,15554,12.0393397582615
90630,612264.5,47993,12.7573708665847
90631,643014,67619,9.50936866856948
90637,1826,-100,-100
90638,348451.0938,49012,7.10950570880601
90640,55745.19922,62549,0.891224467537451
90650,103312.1016,105549,0.978807014751442
90657,4247.100098,-100,-100
90660,78620.20313,62928,1.24936758088609
90670,15295.80078,14866,1.02891166285484
90680,61489.19922,29945,2.05340454900651
90700,1845,-100,-100
90701,46483.5,16591,2.80172985353505
90703,411506.2188,49399,8.33025402943379
90704,24310.40039,4090,5.94386317603912
90706,108226.8047,76615,1.41260594792143
90710,25060.19922,25457,0.984412900970264
90711,3657.599854,-100,-100
90712,215949.2031,31499,6.85574789993333
90713,200584.5,27925,7.18297224709042
90715,60914,20388,2.98773788503041
90716,4240,14184,0.29892836999436
90717,141831.7031,21318,6.65314302936486
90720,641108.5625,21751,29.4749005792837
90723,17293,54099,0.319654707111037
90731,4276.799805,59662,0.0716838155777547
90740,286083.5938,23729,12.0562852964727
90742,9978.099609,831,12.0073400830325
90743,8838.599609,456,19.382893879386
90745,61986,57251,1.08270597893487
90746,37638.60156,25990,1.44819551981531
90755,66636.20313,11074,6.01735625158028
90801,2357.599854,-100,-100
90802,11746.40039,39347,0.298533570284901
90803,371895,32031,11.610471106116
90804,45950.40234,40311,1.1398973565528
90805,273740.5938,93524,2.92695558145503
90806,43099.80078,42399,1.01652871011109
90807,397937.0938,31481,12.6405480702646
90808,592850.3125,38232,15.5066518230801
90810,14268.30078,36735,0.388411617803185
90813,15157.59961,58911,0.25729659333571
90814,184450.1094,19131,9.64142540379489
90815,579800,39733,14.5924042986938
90914,2258.399902,-100,-100
91001,581096.3125,36126,16.0852658057908
91006,696466.8125,31715,21.9601706605707
91007,379281.125,34095,11.1242447572958
91008,84258.60156,1391,60.5741204601006
91010,100485.2969,26074,3.85385046022858
91011,967202.6875,20280,47.6924402120316
91016,336516.3125,40598,8.2889874501207
91020,26637.40039,8415,3.16546647534165
91024,291845.1875,10917,26.7330940276633
91030,390443.9063,25616,15.2421887218926
91101,9033.200195,20460,0.441505385874878
91104,39482.60156,36751,1.07432727163887
91107,236311.1094,32940,7.17398632058288
91108,357483.4063,13361,26.755737317566
91214,310232.6875,30356,10.2198144518382
91301,1153241.5,25488,45.246449309479
91302,986278.6875,25709,38.3631680539889
