COUNTY,TREND,POPULATION,RATIO
06001,4656749.718685,8255830,0.564055911844721
06003,0,121,0.0
06005,195874.806635,200196,0.978415186292434
06007,2064806.393778,1211128,1.70486223898547
06009,234593.397212,224924,1.0429896196582
06011,20077.199706,90617,0.221561072491917
06013,6507436.885056,6169613,1.05475609005881
06017,1065874.226034,859395,1.24026114421657
06019,5292827.577204,5098399,1.03813522190084
06021,264974.39064,155084,1.70858625415904
06023,9115.200438,572769,0.0159142698679572
06025,156670.19532,1560,100.429612384615
06027,84063.0,77891,1.07923893646249
06029,2273612.412084,4546206,0.500112052134021
06031,578232.612294,786891,0.734831904665322
06033,285675.593268,358295,0.797319508416249
06035,0,8964,0.0
06037,6718271.78369499,32279061,0.20813095472929
06039,933718.189464,893367,1.04516753972779
06041,3053034.186788,1457932,2.09408544897019
06043,68758.79883,81282,0.845928973573485
06045,199100.205326,458411,0.434326849325169
06047,814680.60933,1213824,0.671168644984775
06049,0,333,0.0
06051,77663.400876,66861,1.16156505101629
06053,1232907.00441,2070169,0.595558625604963
06055,684831.002922,786406,0.870836441891339
06057,1026529.215792,485199,2.11568699810181
06059,3003309.613698,15360560,0.195520841277792
06061,2382074.751626,1640385,1.4521437050607
06063,0,35037,0.0
06065,5787639.058428,10942728,0.528902761580842
06067,0,137672,0.0
06069,249433.202664,327601,0.761393288372136
06071,2720883.631248,10778557,0.252434869644239
06073,8045460.61811399,17767351,0.452822743137904
06075,798910.205556,4452223,0.179440743546763
06077,1309786.20995,3503069,0.373896777354371
06079,1909927.801044,1583605,1.20606325506929
06081,3500365.948094,4191231,0.835164167304069
06083,918478.204152,2294904,0.400225109264701
06085,12985591.447722,9458837,1.37285286211423
06087,2900650.39064,1500872,1.93264341705355
06089,1222343.417754,973837,1.25518276441951
06091,0,584,0.0
06095,1264105.22463,2377737,0.531642155810336
06097,2795351.97876,2874735,0.972385969058018
06099,393858.005852,407746,0.965939594384739
06101,409762.20699,554765,0.738623033158184
06103,1229431.80492,346047,3.55278850826622
06105,0,1343,0.0
06107,3358056.716608,2423756,1.38547639143874
06109,285491.99415,298616,0.956050560418732
06111,3259614.641616,4584287,0.711040700902016
06113,1911583.028212,1185555,1.61239506240706
06115,659619.587424,409457,1.61096180410641
53011,0,24057,0.0
