Id,Id2,Geography,Estimate,Error
8600000US90601,90601,ZCTA5 90601,32630,1527
8600000US90602,90602,ZCTA5 90602,25923,1041
8600000US90603,90603,ZCTA5 90603,19933,856
8600000US90604,90604,ZCTA5 90604,40483,1234
8600000US90605,90605,ZCTA5 90605,40698,1211
8600000US90606,90606,ZCTA5 90606,32998,1436
8600000US90620,90620,ZCTA5 90620,44295,1146
8600000US90621,90621,ZCTA5 90621,35994,1149
8600000US90623,90623,ZCTA5 90623,15528,136
8600000US90630,90630,ZCTA5 90630,48292,169
8600000US90631,90631,ZCTA5 90631,67929,541
8600000US90638,90638,ZCTA5 90638,49062,351
8600000US90640,90640,ZCTA5 90640,62965,293
8600000US90650,90650,ZCTA5 90650,105603,53
8600000US90660,90660,ZCTA5 90660,63106,55
8600000US90670,90670,ZCTA5 90670,15265,321
8600000US90680,90680,ZCTA5 90680,30369,871
8600000US90701,90701,ZCTA5 90701,16597,97
8600000US90703,90703,ZCTA5 90703,49551,269
8600000US90704,90704,ZCTA5 90704,3999,113
8600000US90706,90706,ZCTA5 90706,76619,53
8600000US90710,90710,ZCTA5 90710,27486,1107
8600000US90712,90712,ZCTA5 90712,31334,737
8600000US90713,90713,ZCTA5 90713,27562,694
8600000US90715,90715,ZCTA5 90715,21129,802
8600000US90716,90716,ZCTA5 90716,14203,82
8600000US90717,90717,ZCTA5 90717,21347,307
8600000US90720,90720,ZCTA5 90720,21710,570
8600000US90723,90723,ZCTA5 90723,54255,61
8600000US90731,90731,ZCTA5 90731,59270,2080
8600000US90732,90732,ZCTA5 90732,19895,1019
8600000US90740,90740,ZCTA5 90740,23789,149
8600000US90742,90742,ZCTA5 90742,968,224
8600000US90743,90743,ZCTA5 90743,411,130
8600000US90744,90744,ZCTA5 90744,57441,1491
8600000US90745,90745,ZCTA5 90745,58090,1040
8600000US90746,90746,ZCTA5 90746,25861,943
8600000US90747,90747,ZCTA5 90747,0,13
8600000US90755,90755,ZCTA5 90755,10994,64
8600000US90802,90802,ZCTA5 90802,39017,1216
8600000US90803,90803,ZCTA5 90803,30855,1404
8600000US90804,90804,ZCTA5 90804,41094,1361
8600000US90805,90805,ZCTA5 90805,93117,1968
8600000US90806,90806,ZCTA5 90806,42873,1571
8600000US90807,90807,ZCTA5 90807,32176,997
8600000US90808,90808,ZCTA5 90808,39064,966
8600000US90810,90810,ZCTA5 90810,36935,1306
8600000US90813,90813,ZCTA5 90813,58719,1673
8600000US90814,90814,ZCTA5 90814,18633,1171
8600000US90815,90815,ZCTA5 90815,40502,1013
8600000US90822,90822,ZCTA5 90822,183,58
8600000US90831,90831,ZCTA5 90831,0,13
8600000US91001,91001,ZCTA5 91001,38066,1541
8600000US91006,91006,ZCTA5 91006,32339,826
8600000US91007,91007,ZCTA5 91007,33836,962
8600000US91008,91008,ZCTA5 91008,1122,138
8600000US91010,91010,ZCTA5 91010,24913,405
8600000US91011,91011,ZCTA5 91011,20468,172
8600000US91016,91016,ZCTA5 91016,41610,625
8600000US91020,91020,ZCTA5 91020,8462,566
8600000US91024,91024,ZCTA5 91024,10939,58
8600000US91030,91030,ZCTA5 91030,25603,35
8600000US91040,91040,ZCTA5 91040,19903,1284
8600000US91042,91042,ZCTA5 91042,28266,1261
8600000US91046,91046,ZCTA5 91046,141,70
8600000US91101,91101,ZCTA5 91101,21545,833
8600000US91103,91103,ZCTA5 91103,27127,1334
8600000US91104,91104,ZCTA5 91104,36961,1269
8600000US91105,91105,ZCTA5 91105,10891,521
8600000US91106,91106,ZCTA5 91106,24494,1053
8600000US91107,91107,ZCTA5 91107,31737,1078
8600000US91108,91108,ZCTA5 91108,13297,130
8600000US91201,91201,ZCTA5 91201,23671,696
8600000US91202,91202,ZCTA5 91202,22533,1041
8600000US91203,91203,ZCTA5 91203,13360,886
8600000US91204,91204,ZCTA5 91204,16241,898
8600000US91205,91205,ZCTA5 91205,38362,1112
8600000US91206,91206,ZCTA5 91206,32474,980
8600000US91207,91207,ZCTA5 91207,10613,749
8600000US91208,91208,ZCTA5 91208,15655,800
8600000US91210,91210,ZCTA5 91210,228,119
8600000US91214,91214,ZCTA5 91214,31479,971
8600000US91301,91301,ZCTA5 91301,25834,674
8600000US91302,91302,ZCTA5 91302,24910,745
8600000US91303,91303,ZCTA5 91303,26613,1293
8600000US91304,91304,ZCTA5 91304,52907,1848
8600000US91306,91306,ZCTA5 91306,47048,1536
8600000US91307,91307,ZCTA5 91307,24983,1112
8600000US91311,91311,ZCTA5 91311,37945,984
8600000US91316,91316,ZCTA5 91316,26368,1227
8600000US91320,91320,ZCTA5 91320,45433,1121
8600000US91321,91321,ZCTA5 91321,35148,1364
8600000US91324,91324,ZCTA5 91324,26742,1447
8600000US91325,91325,ZCTA5 91325,33268,1043
8600000US91326,91326,ZCTA5 91326,35691,1023
8600000US91330,91330,ZCTA5 91330,1470,234
8600000US91331,91331,ZCTA5 91331,96965,2580
8600000US91335,91335,ZCTA5 91335,74641,2280
8600000US91340,91340,ZCTA5 91340,35207,1197
8600000US91342,91342,ZCTA5 91342,89001,2184
8600000US91343,91343,ZCTA5 91343,60759,1724
8600000US91344,91344,ZCTA5 91344,53014,1480
8600000US91345,91345,ZCTA5 91345,18654,739
8600000US91350,91350,ZCTA5 91350,34293,889
8600000US91351,91351,ZCTA5 91351,31936,1226
8600000US91352,91352,ZCTA5 91352,45494,1700
8600000US91354,91354,ZCTA5 91354,28392,1168
8600000US91355,91355,ZCTA5 91355,33203,965
8600000US91356,91356,ZCTA5 91356,29590,1383
8600000US91360,91360,ZCTA5 91360,42937,1110
8600000US91361,91361,ZCTA5 91361,19731,786
8600000US91362,91362,ZCTA5 91362,35485,971
8600000US91364,91364,ZCTA5 91364,25947,1030
8600000US91367,91367,ZCTA5 91367,40323,1406
8600000US91371,91371,ZCTA5 91371,0,13
8600000US91377,91377,ZCTA5 91377,14423,585
8600000US91381,91381,ZCTA5 91381,19673,749
8600000US91384,91384,ZCTA5 91384,29155,1112
8600000US91387,91387,ZCTA5 91387,40375,1499
8600000US91390,91390,ZCTA5 91390,20050,963
8600000US91401,91401,ZCTA5 91401,40085,1405
8600000US91402,91402,ZCTA5 91402,70749,1629
8600000US91403,91403,ZCTA5 91403,23377,937
8600000US91405,91405,ZCTA5 91405,54185,1621
8600000US91406,91406,ZCTA5 91406,53129,1392
8600000US91411,91411,ZCTA5 91411,23708,915
8600000US91423,91423,ZCTA5 91423,30946,1310
8600000US91436,91436,ZCTA5 91436,14508,741
8600000US91501,91501,ZCTA5 91501,20546,958
8600000US91502,91502,ZCTA5 91502,11340,963
8600000US91504,91504,ZCTA5 91504,25527,892
8600000US91505,91505,ZCTA5 91505,30563,875
8600000US91506,91506,ZCTA5 91506,18906,831
8600000US91601,91601,ZCTA5 91601,37090,1399
8600000US91602,91602,ZCTA5 91602,17115,880
8600000US91604,91604,ZCTA5 91604,28323,1050
8600000US91605,91605,ZCTA5 91605,55313,1551
8600000US91606,91606,ZCTA5 91606,46880,1292
8600000US91607,91607,ZCTA5 91607,28821,1218
8600000US91608,91608,ZCTA5 91608,0,13
8600000US91701,91701,ZCTA5 91701,40553,1323
8600000US91702,91702,ZCTA5 91702,60284,1287
8600000US91706,91706,ZCTA5 91706,77028,200
8600000US91708,91708,ZCTA5 91708,3840,470
8600000US91709,91709,ZCTA5 91709,75211,80
