CITY, POPULATION
Torrance, 147027
Trabuco, 193712
Tracy, 84669
Tranquillity, 799
Traver, 713
Tres Pinos, 476
Trinidad, 364
Trinity Center, 267
Trinity Village, 297
Trinity-Klamath, 5529
Triunfo Pass-Coastal, 1601
Trowbridge, 226
Truckee, 16156
Tulare, 60933
Tule Lake, 1109
Tulelake, 993
Tuolumne City, 1779
Turlock, 69733
Tustin Foothills, 24898
Tustin, 78049
Tuttletown, 668
Twain Harte, 2226
Twentynine Palms Base, 9756
Twentynine Palms, 25713
Twin Lakes, 4917
Ukiah, 15907
Union City, 71763
University of California Davis, 5786
Upland, 75209
Upper Lake, 1052
Upper San Gabriel Valley, 327431
Vacaville, 93899
Val Verde, 2468
Valinda, 22822
Valle Vista, 14578
Vallecito, 442
Vallejo, 117796
Valley Acres, 527
Valley Center, 9277
Valley Home, 228
Valley Springs, 3553
Vandenberg AFB, 3338
Vandenberg Village, 6497
Ventura, 110873
Victorville, 120336
Victor, 293
View Park-Windsor Hills, 11075
Villa Park, 5925
Vina, 237
Vincent, 15922
Vine Hill, 3761
Vineyard, 24836
Visalia, 127081
Vista Santa Rosa, 2926
Vista, 96047
Volta, 246
Waldon, 5364
Walker, 721
Wallace, 403
Walnut Creek, 65695
Walnut Grove, 1542
Walnut Park, 15966
Walnut, 30011
Warm Springs, 2676
Wasco, 25495
Waterford, 8559
Waterloo, 572
Watsonville, 51881
Weaverville, 3600
Weedpatch, 2658
Weed, 2941
Weldon, 2642
Weott, 288
West Athens, 8729
West Bishop, 2607
West Carson, 21699
West Colusa, 1021
West Compton, 5544
West Contra Costa, 250207
West Covina, 107440
West Goshen, 511
West Hollywood, 34781
West Imperial, 8265
West Menlo Park, 3659
West Modesto, 5682
West Park, 1157
West Point-Wilseyville, 13048
West Point, 674
West Puente Valley, 22636
West Rancho Dominguez, 5669
West Sacramento, 49523
West Santa Clara, 8318
West Sierra, 978
West Tehama, 4262
West Valley, 29595
West Whittier-Los Nietos, 25540
Westhaven-Moonstone, 1205
Westlake Village, 8399
Westley, 603
Westminster, 91377
Westmont, 31853
Westmorland, 2267
Westport, 4615
Westside, 32384
Westwood, 1647
Wheatland, 3514
Whitewater, 859
Whitley Gardens, 285
Whittier, 86177
Wildomar, 33192
Wilkerson, 563
Williams, 5166
Willits, 4845
Willow Creek, 1710
Willowbrook, 35983
Willows, 6128
Wilton, 5363
Winchester, 2534
Windsor, 27144
Winter Gardens, 20631
Winterhaven-Bard, 3814
Winterhaven, 394
Winters, 6898
Winton, 10613
Wofford Heights, 2200
Woodacre, 1348
Woodbridge, 3984
Woodcrest, 14347
Woodlake, 7389
Woodlands, 576
Woodland, 56271
Woodside, 5461
Woodville, 1740
Wrightwood, 4525
Yankee Hill, 333
Yettem, 211
Yolo, 450
Yorba Linda, 66735
Yosemite Lakes, 4952
Yosemite Valley, 1035
Yosemite, 2373
Yountville, 2965
Yreka, 7679
Yuba City, 65105
Yuba Foothills, 5446
Yuba Rural, 2848
Yucaipa, 52265
Yucca Valley, 21098
Zayante, 705
