GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US90505,90505,ZCTA5 90505,35804,1053
8600000US90506,90506,ZCTA5 90506,0,95
8600000US90601,90601,ZCTA5 90601,32524,1369
8600000US90602,90602,ZCTA5 90602,26210,1143
8600000US90603,90603,ZCTA5 90603,19199,879
8600000US90604,90604,ZCTA5 90604,40340,1217
8600000US90605,90605,ZCTA5 90605,40159,1407
8600000US90606,90606,ZCTA5 90606,32929,1353
8600000US90620,90620,ZCTA5 90620,43414,1239
8600000US90621,90621,ZCTA5 90621,36338,1201
8600000US90623,90623,ZCTA5 90623,15402,112
8600000US90630,90630,ZCTA5 90630,47881,185
8600000US90631,90631,ZCTA5 90631,67707,594
8600000US90638,90638,ZCTA5 90638,48922,370
8600000US90640,90640,ZCTA5 90640,62782,188
8600000US90650,90650,ZCTA5 90650,105348,63
8600000US90660,90660,ZCTA5 90660,62994,58
8600000US90670,90670,ZCTA5 90670,15321,353
8600000US90680,90680,ZCTA5 90680,30526,858
8600000US90701,90701,ZCTA5 90701,16573,106
8600000US90703,90703,ZCTA5 90703,49537,225
8600000US90704,90704,ZCTA5 90704,4060,210
8600000US90706,90706,ZCTA5 90706,76243,69
8600000US90710,90710,ZCTA5 90710,27672,1047
8600000US90712,90712,ZCTA5 90712,31786,759
8600000US90713,90713,ZCTA5 90713,27344,707
8600000US90715,90715,ZCTA5 90715,20662,786
8600000US90716,90716,ZCTA5 90716,14265,66
8600000US90717,90717,ZCTA5 90717,21353,327
8600000US90720,90720,ZCTA5 90720,21360,502
8600000US90723,90723,ZCTA5 90723,54196,59
8600000US90731,90731,ZCTA5 90731,60467,1882
8600000US90732,90732,ZCTA5 90732,20300,1146
8600000US90740,90740,ZCTA5 90740,23875,144
8600000US90742,90742,ZCTA5 90742,1063,258
8600000US90743,90743,ZCTA5 90743,277,122
8600000US90744,90744,ZCTA5 90744,56811,1437
8600000US90745,90745,ZCTA5 90745,57668,1001
8600000US90746,90746,ZCTA5 90746,26021,894
8600000US90747,90747,ZCTA5 90747,0,95
8600000US90755,90755,ZCTA5 90755,10893,96
8600000US90802,90802,ZCTA5 90802,38669,1219
8600000US90803,90803,ZCTA5 90803,30670,1108
8600000US90804,90804,ZCTA5 90804,40817,1419
8600000US90805,90805,ZCTA5 90805,92627,1991
8600000US90806,90806,ZCTA5 90806,42486,1430
8600000US90807,90807,ZCTA5 90807,31912,1101
8600000US90808,90808,ZCTA5 90808,39848,1084
8600000US90810,90810,ZCTA5 90810,37208,1335
8600000US90813,90813,ZCTA5 90813,57602,1575
8600000US90814,90814,ZCTA5 90814,18260,972
8600000US90815,90815,ZCTA5 90815,41278,1267
8600000US90822,90822,ZCTA5 90822,47,31
8600000US90831,90831,ZCTA5 90831,0,95
8600000US91001,91001,ZCTA5 91001,38113,1120
8600000US91006,91006,ZCTA5 91006,32233,955
8600000US91007,91007,ZCTA5 91007,33241,867
8600000US91008,91008,ZCTA5 91008,1271,175
8600000US91010,91010,ZCTA5 91010,24917,475
8600000US91011,91011,ZCTA5 91011,20308,95
8600000US91016,91016,ZCTA5 91016,41385,532
8600000US91020,91020,ZCTA5 91020,8682,743
8600000US91024,91024,ZCTA5 91024,10881,27
8600000US91030,91030,ZCTA5 91030,25465,66
8600000US91040,91040,ZCTA5 91040,20232,1248
8600000US91042,91042,ZCTA5 91042,27593,983
8600000US91046,91046,ZCTA5 91046,123,75
8600000US91101,91101,ZCTA5 91101,21121,912
8600000US91103,91103,ZCTA5 91103,27330,1455
8600000US91104,91104,ZCTA5 91104,37335,1556
8600000US91105,91105,ZCTA5 91105,10548,592
8600000US91106,91106,ZCTA5 91106,25096,1297
8600000US91107,91107,ZCTA5 91107,31329,1304
8600000US91108,91108,ZCTA5 91108,13281,125
8600000US91201,91201,ZCTA5 91201,23419,844
8600000US91202,91202,ZCTA5 91202,22414,887
8600000US91203,91203,ZCTA5 91203,13016,727
8600000US91204,91204,ZCTA5 91204,15830,717
8600000US91205,91205,ZCTA5 91205,38321,1145
8600000US91206,91206,ZCTA5 91206,32674,1041
8600000US91207,91207,ZCTA5 91207,10566,798
8600000US91208,91208,ZCTA5 91208,15672,847
8600000US91210,91210,ZCTA5 91210,194,132
8600000US91214,91214,ZCTA5 91214,31642,1086
8600000US91301,91301,ZCTA5 91301,25343,606
8600000US91302,91302,ZCTA5 91302,25802,725
8600000US91303,91303,ZCTA5 91303,26308,1310
8600000US91304,91304,ZCTA5 91304,52249,1425
8600000US91306,91306,ZCTA5 91306,47235,1720
8600000US91307,91307,ZCTA5 91307,24506,1270
8600000US91311,91311,ZCTA5 91311,37504,1112
8600000US91316,91316,ZCTA5 91316,26586,1238
8600000US91320,91320,ZCTA5 91320,45205,1176
8600000US91321,91321,ZCTA5 91321,34948,1490
8600000US91324,91324,ZCTA5 91324,26853,1297
8600000US91325,91325,ZCTA5 91325,32497,1407
8600000US91326,91326,ZCTA5 91326,34468,963
8600000US91330,91330,ZCTA5 91330,794,160
8600000US91331,91331,ZCTA5 91331,97523,2669
8600000US91335,91335,ZCTA5 91335,75267,2139
8600000US91340,91340,ZCTA5 91340,34516,1161
8600000US91342,91342,ZCTA5 91342,87707,2419
8600000US91343,91343,ZCTA5 91343,59886,1784
8600000US91344,91344,ZCTA5 91344,53134,1352
8600000US91345,91345,ZCTA5 91345,18629,1003
8600000US91350,91350,ZCTA5 91350,32449,1293
8600000US91351,91351,ZCTA5 91351,31596,1084
8600000US91352,91352,ZCTA5 91352,46561,2108
8600000US91354,91354,ZCTA5 91354,28330,1136
8600000US91355,91355,ZCTA5 91355,32104,1297
8600000US91356,91356,ZCTA5 91356,29905,1341
8600000US91360,91360,ZCTA5 91360,42083,1024
8600000US91361,91361,ZCTA5 91361,20193,813
